,Waktu,Temp1,Temp2,Humid 1,Humid 2,Baterai,Temp outdoor,Humidity outdoor
7254,2025-11-17 16:03:09+07:00,,,,,,25.4,95.4
7255,2025-11-17 16:03:25+07:00,,,,,,25.4,95.4
7256,2025-11-17 16:03:41+07:00,,,,,,25.4,95.5
7257,2025-11-17 16:03:57+07:00,,,,,,25.4,95.6
7258,2025-11-17 16:04:13+07:00,,,,,,25.4,95.6
7259,2025-11-17 16:04:29+07:00,,,,,,25.4,95.6
7260,2025-11-17 16:04:45+07:00,,,,,,25.4,95.6
7261,2025-11-17 16:05:06+07:00,,,,,,25.4,95.6
7262,2025-11-17 16:05:23+07:00,,,,,,25.5,95.7
7263,2025-11-17 16:05:40+07:00,,,,,,25.5,95.8
7264,2025-11-17 16:05:56+07:00,,,,,,25.6,95.5
7265,2025-11-17 16:06:13+07:00,,,,,,25.6,95.4
7266,2025-11-17 16:06:33+07:00,,,,,,25.7,95.2
7267,2025-11-17 16:06:50+07:00,,,,,,25.7,95.0
7268,2025-11-17 16:14:51+07:00,,,,,,27.5,87.7
7269,2025-11-17 16:15:07+07:00,,,,,,27.5,87.8
7270,2025-11-17 16:15:23+07:00,,,,,,27.4,88.1
7271,2025-11-17 16:15:39+07:00,,,,,,27.2,88.4
7272,2025-11-17 16:15:55+07:00,,,,,,27.1,89.0
7273,2025-11-17 16:16:52+07:00,,,,,,26.6,91.1
7274,2025-11-17 16:17:08+07:00,,,,,,26.7,90.6
7275,2025-11-17 16:17:39+07:00,,,,,,26.6,91.1
7276,2025-11-17 16:17:55+07:00,,,,,,26.6,91.0
7277,2025-11-17 16:18:11+07:00,,,,,,26.5,91.0
7278,2025-11-17 16:18:27+07:00,,,,,,26.5,91.1
7279,2025-11-17 16:18:43+07:00,,,,,,26.5,91.3
7280,2025-11-17 16:18:59+07:00,,,,,,26.5,91.5
7281,2025-11-17 16:19:15+07:00,,,,,,26.4,91.5
7282,2025-11-17 16:19:31+07:00,,,,,,26.4,91.6
7283,2025-11-17 16:19:47+07:00,,,,,,26.4,91.7
7284,2025-11-17 16:20:03+07:00,,,,,,26.3,91.8
7285,2025-11-17 16:20:19+07:00,,,,,,26.3,92.0
7286,2025-11-17 16:20:35+07:00,,,,,,26.3,92.0
7287,2025-11-17 16:20:51+07:00,,,,,,26.3,92.1
7288,2025-11-17 16:21:07+07:00,,,,,,26.2,92.3
7289,2025-11-17 16:21:23+07:00,,,,,,26.2,92.3
7290,2025-11-17 16:21:39+07:00,,,,,,26.2,92.7
7291,2025-11-17 16:21:55+07:00,,,,,,26.1,92.7
7292,2025-11-17 16:22:11+07:00,,,,,,26.1,92.8
7293,2025-11-17 16:22:27+07:00,,,,,,26.1,93.0
7294,2025-11-17 16:22:43+07:00,,,,,,26.0,93.2
7295,2025-11-17 16:22:59+07:00,,,,,,26.0,93.3
7296,2025-11-17 16:23:15+07:00,,,,,,26.0,93.4
7297,2025-11-17 16:23:31+07:00,,,,,,25.9,93.5
7298,2025-11-17 16:23:47+07:00,,,,,,25.9,93.6
7299,2025-11-17 16:24:03+07:00,,,,,,25.9,93.7
7300,2025-11-17 16:24:19+07:00,,,,,,25.9,93.8
7301,2025-11-17 16:24:35+07:00,,,,,,25.8,93.9
7302,2025-11-17 16:24:51+07:00,,,,,,25.8,93.9
7303,2025-11-17 16:25:07+07:00,,,,,,25.8,94.0
7304,2025-11-17 16:25:23+07:00,,,,,,25.7,94.1
7305,2025-11-17 16:25:39+07:00,,,,,,25.7,94.2
7306,2025-11-17 16:25:55+07:00,,,,,,25.7,94.4
7307,2025-11-17 16:26:12+07:00,,,,,,25.7,94.5
7308,2025-11-17 16:26:28+07:00,,,,,,25.7,94.5
7309,2025-11-17 16:26:44+07:00,,,,,,25.7,94.6
7310,2025-11-17 16:27:00+07:00,,,,,,25.6,94.7
7311,2025-11-17 16:27:16+07:00,,,,,,25.6,94.8
7312,2025-11-17 16:27:33+07:00,,,,,,25.6,94.9
7313,2025-11-17 16:27:49+07:00,,,,,,25.6,95.0
7314,2025-11-17 16:28:05+07:00,,,,,,25.6,95.0
7315,2025-11-17 16:28:21+07:00,,,,,,25.5,95.1
7316,2025-11-17 16:28:37+07:00,,,,,,25.5,95.1
7317,2025-11-17 16:28:54+07:00,,,,,,25.5,95.2
7318,2025-11-17 16:29:10+07:00,,,,,,25.5,95.3
7319,2025-11-17 16:29:26+07:00,,,,,,25.5,95.5
